Thread ID: 109440
Total: 0.037897

 %self     total     self     wait    child    calls  name
  0.15      0.00     0.00     0.00     0.00       20  <Class::Thread>#critical=
  0.15      0.00     0.00     0.00     0.00        1  ActionController::SessionManagement::ClassMethods#session_options_for
  0.15      0.00     0.00     0.00     0.00       14  Fixnum#==
  0.15      0.00     0.00     0.00     0.00        7  <Class::Time>#now
  0.15      0.00     0.00     0.00     0.00        7  Proc#call
  0.15      0.00     0.00     0.00     0.00        5  MonitorMixin#mon_acquire
  0.15      0.00     0.00     0.00     0.00        1  ActionController::AbstractResponse#handle_conditional_get!
  0.15      0.00     0.00     0.00     0.00        2  ActionController::AbstractResponse#content_type=
  0.15      0.00     0.00     0.00     0.00       16  String#[]
  0.14      0.00     0.00     0.00     0.00        2  <Class::CGI::Cookie>#parse
  0.14      0.00     0.00     0.00     0.00        6  <Class::ActiveRecord::Base>#connection
  0.14      0.00     0.00     0.00     0.00        1  ActionController::Base#initialize_template_class
  0.13      0.00     0.00     0.00     0.00        2  ActionView::Helpers::UrlHelper#url_for
  0.13      0.00     0.00     0.00     0.00        3  ActiveSupport::BufferedLogger#auto_flush
  0.13      0.00     0.00     0.00     0.00        1  ActionController::AbstractRequest#_unmemoized_path
  0.13      0.00     0.00     0.00     0.00        2  CGI::Session::CookieStore#generate_digest
  0.13      0.00     0.00     0.00     0.00        1  ActionController::RackRequest#cookies
  0.13      0.01     0.00     0.00     0.01        6  Kernel#send
  0.13      0.00     0.00     0.00     0.00        2  Array#map!
  0.13      0.00     0.00     0.00     0.00        7  ActionController::RackResponse#status
  0.13      0.00     0.00     0.00     0.00        6  Kernel#send-1
  0.12      0.00     0.00     0.00     0.00       12  Module#name
  0.12      0.00     0.00     0.00     0.00        5  String#blank?
  0.12      0.00     0.00     0.00     0.00        2  ActiveSupport::Callbacks::CallbackChain#run
  0.12      0.00     0.00     0.00     0.00        1  <Module::ActiveSupport::Cache>#expand_cache_key
  0.12      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.12      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#recognize
  0.12      0.00     0.00     0.00     0.00        5  ActiveRecord::ConnectionAdapters::AbstractAdapter#reset_runtime
  0.12      0.00     0.00     0.00     0.00        1  ActionController::RackResponse#set_cookies!
  0.12      0.00     0.00     0.00     0.00        9  Kernel#instance_variable_get
  0.12      0.00     0.00     0.00     0.00        3  ActiveSupport::BufferedLogger#clear_buffer
  0.12      0.00     0.00     0.00     0.00        1  ActionView::Base#initialize
  0.12      0.00     0.00     0.00     0.00        5  ActiveRecord::ConnectionAdapters::ConnectionPool#connected?
  0.12      0.00     0.00     0.00     0.00        1  ActionController::Base#complete_request_uri
  0.12      0.00     0.00     0.00     0.00        1  <Module::Benchmark>#realtime-1
  0.12      0.00     0.00     0.00     0.00        2  <Class::Proc>#new
  0.12      0.00     0.00     0.00     0.00       12  <Class::Hash>#allocate
  0.12      0.00     0.00     0.00     0.00       14  Kernel#==
  0.12      0.00     0.00     0.00     0.00        2  Object#returning
  0.12      0.00     0.00     0.00     0.00        4  ActionController::Base#params
  0.12      0.00     0.00     0.00     0.00        3  ActionController::AbstractRequest#parameters
  0.12      0.00     0.00     0.00     0.00        5  ActiveRecord::ConnectionAdapters::ConnectionPool#connected_without_synchronization?
  0.12      0.00     0.00     0.00     0.00        1  CGI::QueryExtension#initialize_query
  0.11      0.00     0.00     0.00     0.00        3  Module#extend_object
  0.11      0.00     0.00     0.00     0.00        2  ActiveSupport::Callbacks#run_callbacks
  0.11      0.01     0.00     0.00     0.01        1  ActionController::Filters::InstanceMethods#call_filters
  0.11      0.00     0.00     0.00     0.00        2  ActionView::Renderable#method_name
  0.11      0.00     0.00     0.00     0.00        8  Hash#has_key?
  0.11      0.00     0.00     0.00     0.00        2  <Class::OpenSSL::HMAC>#hexdigest
  0.11      0.00     0.00     0.00     0.00        5  ActionController::AbstractResponse#status
  0.11      0.01     0.00     0.00     0.01        1  ActiveRecord::QueryCache#cache
  0.11      0.00     0.00     0.00     0.00        2  ActiveSupport::Callbacks::Callback#evaluate_method
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Layout#active_layout
  0.11      0.00     0.00     0.00     0.00        2  ActiveSupport::CoreExtensions::Hash::IndifferentAccess#with_indifferent_access
  0.11      0.00     0.00     0.00     0.00        4  HashWithIndifferentAccess#delete
  0.11      0.00     0.00     0.00     0.00        2  Kernel#instance_variable_names
  0.11      0.02     0.00     0.00     0.02        1  ActionController::Integration::Runner#get
  0.11      0.00     0.00     0.00     0.00        1  ActionController::RackResponse#out
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Base#assign_shortcuts_without_flash
  0.11      0.00     0.00     0.00     0.00        1  ActionController::AbstractResponse#set_content_length!
  0.11      0.00     0.00     0.00     0.00       12  <Class::Object>#allocate
  0.11      0.00     0.00     0.00     0.00        2  ActionController::AbstractRequest#request_uri
  0.10      0.00     0.00     0.00     0.00        6  Hash#regular_writer
  0.10      0.00     0.00     0.00     0.00        2  ActionController::AbstractRequest#method
  0.10      0.00     0.00     0.00     0.00        1  ActionController::Flash::InstanceMethods#flash_without_components
  0.10      0.00     0.00     0.00     0.00        2  ActionView::Base#template_format
  0.10      0.01     0.00     0.00     0.01        1  ActionController::Base#perform_action_without_filters
  0.10      0.00     0.00     0.00     0.00        1  ActionController::Base#render_for_file
  0.10      0.00     0.00     0.00     0.00        8  Kernel#===
  0.10      0.00     0.00     0.00     0.00        1  CGI::Session::CookieStore#unmarshal
  0.10      0.00     0.00     0.00     0.00        2  #<Class:0x23c4464>#respond_to?
  0.10      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing_for_parameters
  0.10      0.00     0.00     0.00     0.00        1  ActionView::Base#_copy_ivars_from_controller
  0.10      0.00     0.00     0.00     0.00        1  CGI::Session::CookieStore#read_cookie
  0.10      0.00     0.00     0.00     0.00        6  NilClass#blank?
  0.10      0.00     0.00     0.00     0.00        4  Hash#merge
  0.10      0.00     0.00     0.00     0.00        1  #<Class:0x23c4464>#to_ary
  0.10      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#to_plain_segments
  0.10      0.00     0.00     0.00     0.00        3  ActionController::Base#controller_path
  0.10      0.00     0.00     0.00     0.00        4  ActiveSupport::BufferedLogger#flush
  0.09      0.00     0.00     0.00     0.00        2  ActionController::Components::InstanceMethods#flash
  0.09      0.01     0.00     0.00     0.01        1  ActiveRecord::ConnectionAdapters::QueryCache#cache
  0.09      0.00     0.00     0.00     0.00        1  <Module::Benchmark>#realtime
  0.09      0.00     0.00     0.00     0.00        2  ActiveSupport::Callbacks::Callback#should_run_callback?
  0.09      0.00     0.00     0.00     0.00        1  CGI::Session::CookieStore#close
  0.09      0.00     0.00     0.00     0.00        2  ActiveSupport::Callbacks::Callback#call
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Integration::Session#requestify
  0.09      0.00     0.00     0.00     0.00       13  Array#shift
  0.09      0.00     0.00     0.00     0.00        1  <Class::ActionController::Dispatcher>#after_dispatch_callback_chain
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Benchmarking#active_record_runtime
  0.09      0.00     0.00     0.00     0.00       11  Array#<<
  0.09      0.00     0.00     0.00     0.00        5  Class#inheritable_attributes
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing
  0.09      0.00     0.00     0.00     0.00        2  ActionView::Template#method_segment
  0.09      0.00     0.00     0.00     0.00        3  ActiveSupport::BufferedLogger#info
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Flash::InstanceMethods#assign_shortcuts
  0.09      0.00     0.00     0.00     0.00        3  HashWithIndifferentAccess#update
